round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.442391791,0.92,-0.433610198,0.9115,1.1,100,50,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,100,1
1,-0.381379521,0.912,-0.37519808,0.897,0.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,200,2
1,-0.462094936,0.92975,-0.454289016,0.9185,0.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,300,0
1,-0.399561498,0.8975,-0.39665356,0.88825,5.1,100,20,<class 'keras.optimizers.RMSprop'>,10,<function selu at 0x00000229C8B63EA0>,200,2
1,-0.458360357,0.93275,-0.449813042,0.92675,5.1,100,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,200,2
1,-0.373785153,0.903,-0.368254099,0.892,6.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,200,1
1,-0.441472139,0.91825,-0.43210575,0.91,5.1,100,20,<class 'keras.optimizers.Nadam'>,80,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.375767296,0.93375,-0.37046092,0.915,7.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,400,2
1,-0.434546348,0.9105,-0.430789945,0.9085,3.1,100,50,<class 'keras.optimizers.RMSprop'>,80,<function selu at 0x00000229C8B63EA0>,200,2
1,-0.393967532,0.924,-0.385804153,0.91,5.1,100,50,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,400,0
1,-0.386322422,0.91425,-0.382309477,0.9125,5.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,200,2
1,-0.446395736,0.9015,-0.439931488,0.88825,2.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function elu at 0x00000229C8B63E18>,300,0
1,-0.409345208,0.89625,-0.402999308,0.8795,6.1,100,100,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,100,1
1,-0.45338029,0.919,-0.449062843,0.90675,1.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,100,2
