round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor,dropout
1,20.279566520690917,0.9745,21.47897920227051,0.96375,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,22.920947692871092,0.91675,24.750035568237305,0.899,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.398544967651368,0.97325,21.880027770996094,0.958,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.476253555297852,0.97975,21.50688456726074,0.97275,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,19.895267150878905,0.9815,20.741390769958496,0.9695,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,20.103369636535646,0.98375,20.944572105407715,0.97325,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,21.01674410247803,0.966,22.59872666168213,0.95125,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,21.29810903930664,0.955,22.830463050842287,0.9395,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.589343193054198,0.9765,22.1425691986084,0.957,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,19.82358618927002,0.98,21.082490493774415,0.96775,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,20.18925705718994,0.98175,21.17369438171387,0.97325,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,19.89803684234619,0.97125,21.38911106109619,0.95775,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.401553413391113,0.9835,21.4605966796875,0.97275,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,20.344317176818848,0.9705,21.796471611022948,0.9545,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,20.42265749359131,0.96825,21.937286933898925,0.95225,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.66100135040283,0.97575,21.6723970413208,0.9665,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.091131385803223,0.98025,20.98596694946289,0.97425,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,20.161785667419434,0.983,21.147457359313965,0.974,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
